,name,NumberOfDistinctIps,NumOfDistCountries,NumberOfDomainsThatShareIP,ReverseDNSQueryARecrods,ReverseDNSQueryNSrecords,ReverseDNSErrors,Blacklisted
236,deluge-torrent.org,1,1,0,1.0,0.0,1.0,False
237,dailymail.co.uk,10,3,0,0.6666666666666666,0.0,1.0,False
238,dlvr.it,8,1,0,0.875,0.0,1.0,False
239,dereferer.org,1,1,0,1.0,0.0,1.0,False
240,diyjoy.com,8,1,0,0.0,0.0,1.0,False
241,derstandard.at,1,1,0,1.0,0.0,1.0,False
242,daringfireball.net,8,1,0,0.0,0.0,1.0,False
243,drivetribe.com,20,1,0,1.0,0.0,1.0,False
244,digitalocean.com,2,1,0,0.0,0.0,1.0,False
245,dangerousprototypes.com,1,1,0,1.0,0.0,1.0,False
246,dinotube.com,4,1,0,0.0,0.0,1.0,False
247,deezer.com,2,1,0,1.0,0.0,1.0,False
248,dianping.com,1,1,0,0.0,0.0,1.0,False
249,dfiles.eu,10,1,0,0.0,0.0,1.0,False
250,darebee.com,2,1,0,1.0,0.0,1.0,False
251,deref-mail.com,1,1,0,1.0,4.0,0.0,False
252,dbpedia.org,2,1,0,0.0,0.0,1.0,False
253,ddfnetwork.com,2,1,0,0.0,0.0,1.0,False
254,dornob.com,8,1,0,0.0,0.0,1.0,False
255,daft.ie,12,1,0,1.0,0.0,1.0,False
256,ethereum.org,24,2,0,0.8,0.0,1.0,False
257,example.org,2,1,0,0.0,0.0,1.0,False
258,eurosport.de,1,1,0,2.0,0.0,1.0,False
259,elpais.com,31,3,0,0.9047619047619048,0.0,1.0,False
260,ebay.fr,2,1,0,0.0,0.0,1.0,False
261,everyplay.com,4,1,0,1.0,0.0,1.0,False
262,eroprofile.com,1,1,0,0.0,0.0,1.0,False
263,eurosport.ru,1,1,0,2.0,0.0,1.0,False
264,eltima.com,1,1,0,1.0,0.0,1.0,False
265,ecustomeropinions.com,1,1,0,0.0,0.0,1.0,False
266,epson.com,2,1,0,0.0,0.0,1.0,False
267,ethz.ch,2,1,0,0.5,0.0,1.0,False
268,ew3.io,2,1,0,1.0,0.0,1.0,False
269,etoro.com,11,3,0,0.9090909090909091,0.0,1.0,False
270,ezinearticles.com,1,1,0,1.0,0.0,1.0,False
271,ea.com,4,1,0,1.0,0.0,1.0,False
272,emclient.com,1,1,0,1.0,0.0,1.0,False
273,e2ertt.com,1,1,0,1.0,0.0,1.0,False
274,eva.ru,1,1,0,0.0,0.0,1.0,False
275,e621.net,6,1,0,0.0,0.0,1.0,False
276,ero-video.net,4,1,0,1.0,0.0,1.0,False
277,etahub.com,1,1,0,0.0,0.0,1.0,False
278,exoclick.com,2,2,0,0.0,0.0,1.0,False
279,everhelper.me,1,1,0,1.0,0.0,1.0,False
280,epoch.com,4,1,0,0.0,0.0,1.0,False
281,etfdb.com,1,1,0,1.0,0.0,1.0,False
282,ey.com,1,1,0,1.0,6.0,0.0,False
283,eol.org,1,1,0,0.0,0.0,1.0,False
284,ethnicelebs.com,8,1,0,0.0,0.0,1.0,False
285,ee.co.uk,2,1,0,0.0,0.0,1.0,False
286,epicgames.com,66,1,0,1.0,0.0,1.0,False
287,espn.com,16,1,0,1.0,0.0,1.0,False
288,elitezones.ro,1,1,0,1.0,0.0,1.0,False
289,etsy.me,2,1,0,1.0,0.0,1.0,False
290,eslamoda.com,3,1,0,0.0,0.0,1.0,False
291,epom.com,1,1,0,1.0,0.0,1.0,False
292,eurosport.com,1,1,0,2.0,0.0,1.0,False
293,forward.com,8,1,0,1.0,0.0,1.0,False
294,fender.com,3,1,0,1.0,0.0,1.0,False
295,f-droid.org,3,2,0,1.0,0.0,1.0,False
296,freecurrencyrates.com,2,1,0,1.0,0.0,1.0,False
297,fooyoh.com,1,1,0,0.0,0.0,1.0,False
298,fitness22content.com,6,1,0,0.0,0.0,1.0,False
299,flickr.com,11,1,0,1.0,0.0,1.0,False
300,filehippo.com,1,1,0,1.0,0.0,1.0,False
301,fossbytes.com,6,1,0,0.0,0.0,1.0,False
302,fnac.com,1,1,0,0.0,0.0,1.0,False
303,ftc.go.kr,1,1,0,0.0,0.0,1.0,False
304,freshome.com,3,1,0,0.0,0.0,1.0,False
305,funkyimg.com,1,1,0,1.0,0.0,1.0,False
306,formula1.com,4,3,0,1.0,0.0,1.0,False
307,firecams.com,20,1,0,1.0,0.0,1.0,False
308,flashscore.com,1,1,0,1.0,0.0,1.0,False
309,fsf.org,2,1,0,0.5,0.0,1.0,False
310,ful.uz,4,1,0,1.0,0.0,1.0,True
311,foreignpolicy.com,1,1,0,0.0,0.0,1.0,False
312,freeresultsguide.com,1,1,0,0.0,0.0,1.0,False
313,files.fm,4,2,0,0.0,0.0,1.0,False
314,force.com,10,1,0,0.0,0.0,1.0,False
315,flocktory.com,7,1,0,1.0,0.0,1.0,False
316,fliphtml5.com,6,1,0,0.0,0.0,1.0,False
317,flacsfor.me,2,1,0,1.0,0.0,1.0,False
318,femjoy.com,1,1,0,0.0,0.0,1.0,False
319,flowplayer.org,32,1,0,1.0,0.0,1.0,False
320,freepik.com,1,1,0,1.0,0.0,1.0,False
321,fotostrana.ru,2,1,0,1.0,0.0,1.0,False
322,freshideen.com,8,1,0,0.0,0.0,1.0,False
323,freeonlinemahjonggames.net,1,1,0,0.0,0.0,1.0,False
324,friendfeed.com,4,2,0,0.5,0.0,1.0,False
325,fedoraproject.org,21,3,0,0.8333333333333334,0.0,1.0,False
326,freeaddon.com,44,1,0,0.0,0.0,1.0,False
327,fresh8.co,1,1,0,1.0,0.0,1.0,False
328,fastweb.it,1,1,0,1.0,0.0,1.0,False
329,fao.org,2,1,0,0.0,0.0,1.0,False
330,fortune.com,24,1,0,1.0,0.0,1.0,False
331,fstoppers.com,3,1,0,1.0,0.0,1.0,False
332,farfetch.com,7,1,0,0.5714285714285714,0.0,1.0,False
333,freevideogamesonline.org,1,1,0,0.0,0.0,1.0,False
334,fpctraffic3.com,1,1,0,0.0,0.0,1.0,False
335,fabwags.com,6,1,0,0.0,0.0,1.0,False
336,feedpress.me,1,1,0,0.0,0.0,1.0,False
337,fb.me,6,2,0,0.5,0.0,1.0,False
338,flowingdata.com,6,1,0,0.0,0.0,1.0,False
339,flashtorrents.org,6,1,0,1.0,0.0,1.0,False
340,gmail.com,26,2,0,0.5384615384615384,0.0,1.0,False
341,giveawayoftheday.com,1,1,0,1.0,4.0,0.0,False
342,gpgtools.org,2,1,0,0.5,0.0,1.0,False
343,grindr.mobi,2,1,0,0.0,0.0,1.0,False
344,gnula.nu,1,1,0,1.0,6.0,0.0,False
345,gimletmedia.com,1,1,0,1.0,0.0,1.0,False
346,gaana.com,10,3,0,0.5,0.0,1.0,False
347,gameforge.com,3,1,0,0.0,0.0,1.0,False
348,getclicky.com,4,1,0,1.0,1.5,0.0,False
349,gravatar.com,4,1,0,0.0,0.0,1.0,False
350,glancecdn.net,4,1,0,1.0,0.0,1.0,False
351,google.it,26,2,0,0.5,0.0,1.0,False
352,globalsan.net,1,1,0,1.0,0.0,1.0,False
353,google.ie,14,2,0,0.9285714285714286,0.0,1.0,False
354,greenfelt.net,1,1,0,1.0,0.0,1.0,False
355,gematsu.com,15,1,0,0.0,0.0,1.0,False
356,geocaching.com,1,1,0,1.0,0.0,1.0,False
357,google.se,15,2,0,0.8666666666666667,0.0,1.0,False
358,geek.com,3,1,0,0.0,0.0,1.0,False
359,globalnews.ca,1,1,0,0.0,0.0,1.0,False
360,garmin.com,1,1,0,0.0,0.0,1.0,False
361,getadblock.com,6,1,0,0.0,0.0,1.0,False
362,google.co.il,13,1,0,1.0,0.0,1.0,False
363,googletraveladservices.com,10,1,0,1.0,0.0,1.0,False
364,gallery.ru,2,1,0,1.0,2.5,0.0,False
365,git-scm.com,6,1,0,0.0,0.0,1.0,False
366,goutee.top,2,1,0,0.0,0.0,1.0,False
367,gooncheck.com,1,1,0,0.0,0.0,1.0,False
368,google.gl,13,1,0,1.1538461538461537,0.0,1.0,False
369,greenwichmeantime.com,6,1,0,0.0,0.0,1.0,False
370,glosbe.com,1,1,0,1.0,2.0,0.0,False
371,gotomeet.me,16,1,0,1.0,0.0,1.0,False
372,gamcore.com,2,1,0,1.0,0.0,1.0,False
373,groupon.com,14,3,0,1.0,0.0,1.0,False
374,google.com.hk,9,1,0,1.0,0.0,1.0,False
375,gameloft.com,1,1,0,1.0,0.0,1.0,False
376,gamepress.gg,6,1,0,0.0,0.0,1.0,False
377,goodreads.com,3,1,0,0.0,0.0,1.0,False
378,gameanalytics.com,1,1,0,1.0,0.0,1.0,False
379,glympse.com,2,1,0,1.0,0.0,1.0,False
380,gearbest.com,3,1,0,1.0,0.0,1.0,False
381,gjp.ch,4,2,0,1.0,0.0,1.0,True
382,google.es,22,2,0,0.5909090909090909,0.0,1.0,False
383,goo.gl,26,2,0,0.5,0.0,1.0,False
384,gorcomnet.ru,1,1,0,1.0,0.0,1.0,False
385,gmx.net,1,1,0,1.0,0.0,1.0,False
386,gadgets360.com,2,1,0,1.0,0.0,1.0,False
387,gitlab.com,2,1,0,0.0,0.0,1.0,False
388,gonzo-movies.com,8,1,0,0.0,0.0,1.0,False
389,gimp.org,3,1,0,1.0,0.0,1.0,False
390,gamewith.jp,2,1,0,1.0,0.0,1.0,False
391,gmatclub.com,1,1,0,1.0,0.0,1.0,False
392,github.com,2,1,0,1.0,0.0,1.0,False
393,gaymaletube.com,4,1,0,0.0,0.0,1.0,False
394,gamestop.com,4,1,0,1.0,0.0,1.0,False
395,gocarrot.com,6,1,0,1.0,0.0,1.0,False
396,google.com.pk,7,1,0,1.0,0.0,1.0,False
397,google.li,13,1,0,1.0,0.0,1.0,False
398,gameranx.com,6,1,0,0.0,0.0,1.0,False
399,google.cz,13,1,0,1.0,0.0,1.0,False
400,humoron.com,6,1,0,0.0,0.0,1.0,False
401,hoteltonight.com,4,1,0,1.0,0.0,1.0,False
402,hermes.com,1,1,0,1.0,0.0,1.0,False
403,hshh.org,1,1,0,1.0,4.0,0.0,False
404,hanime.tv,4,1,0,0.0,0.0,1.0,False
405,hdfcbank.com,4,1,0,0.0,0.0,1.0,False
406,hbn6.ws,1,1,0,1.0,0.0,1.0,True
407,hypebeast.com,4,1,0,0.0,0.0,1.0,False
408,hentai2read.com,6,1,0,0.0,0.0,1.0,False
409,h2porn.com,4,1,0,0.0,0.0,1.0,False
410,houzz.jp,4,1,0,0.0,0.0,1.0,False
411,hpdjjs.com,2,1,0,1.0,0.0,1.0,False
412,homesthetics.net,3,1,0,0.0,0.0,1.0,False
413,hollywoodlife.com,1,1,0,0.0,0.0,1.0,False
414,hulu.com,5,1,0,1.0,0.0,1.0,False
415,henbt.com,1,1,0,0.0,0.0,1.0,False
416,haosou.com,1,1,0,0.0,0.0,1.0,False
417,hotntubes.com,1,1,0,0.0,0.0,1.0,False
418,huaban.com,1,1,0,0.0,0.0,1.0,False
419,hub.com.pl,1,1,0,1.0,3.0,0.0,False
420,hm.com,6,4,0,0.5,0.0,1.0,False
421,heapanalytics.com,9,1,0,1.0,0.0,1.0,False
422,houzz.se,4,1,0,0.0,0.0,1.0,False
423,hotjar.com,12,1,0,1.0,0.0,1.0,False
424,headspace.com,12,1,0,1.0,0.0,1.0,False
425,healthyaperture.com,1,1,0,1.0,0.0,1.0,False
426,hsto.org,6,1,0,0.0,0.0,1.0,False
427,happyfoxchat.com,1,1,0,1.0,0.0,1.0,False
428,imonomy.com,1,1,0,1.0,0.0,1.0,False
429,ift.tt,2,1,0,1.0,0.0,1.0,False
430,imgflip.com,2,1,0,0.0,0.0,1.0,False
431,itzmx.com,2,2,0,6.0,0.0,1.0,False
432,instagr.am,427,1,0,0.993421052631579,0.0,1.0,False
433,instawidget.net,1,1,0,1.0,0.0,1.0,False
434,ibb.co,1,1,0,1.0,0.0,1.0,False
435,ip.cn,21,1,0,0.0,0.0,1.0,False
436,irobot.com,1,1,0,0.0,0.0,1.0,False
437,informatica.com,2,1,0,0.0,0.0,1.0,False
438,inmethod.com,1,1,0,1.0,0.0,1.0,False
439,imlive.com,1,1,0,0.0,0.0,1.0,False
440,ixquick.com,28,1,0,0.0,0.0,1.0,False
441,inter1ads.com,1,1,0,0.0,0.0,1.0,False
442,imagefap.com,3,1,0,0.0,0.0,1.0,False
443,ipv4only.arpa,2,1,0,0.0,0.0,1.0,False
444,indianexpress.com,1,1,0,1.0,0.0,1.0,False
445,igniterealtime.org,1,1,0,1.0,0.0,1.0,False
446,imo.im,20,2,0,0.0,0.0,1.0,False
447,ifconfig.me,4,1,0,1.0,0.0,1.0,False
448,ifttt.com,40,1,0,1.0,0.0,1.0,False
449,ipinfo.io,4,1,0,1.0,0.0,1.0,False
450,imgsrc.ru,1,1,0,0.0,0.0,1.0,False
451,ipchicken.com,11,1,0,0.0,0.0,1.0,False
452,ipstatic.net,6,1,0,0.0,0.0,1.0,False
453,iluvtoons.com,1,1,0,1.0,0.0,1.0,False
454,illiweb.com,71,1,0,0.0,0.0,1.0,False
455,icio.us,1,1,0,0.0,0.0,1.0,False
456,in-appadvertising.com,1,1,0,1.0,0.0,1.0,False
457,ionicframework.com,6,1,0,0.0,0.0,1.0,False
458,ilgiornale.it,7,1,0,1.0,0.0,1.0,False
459,icebns.com,1,1,0,0.0,0.0,1.0,False
460,iubenda.com,1,1,0,0.0,0.0,1.0,False
461,indeed.com,3,1,0,1.0,0.0,1.0,False
